#Redshift	LSSTu	LSSTg	LSSTr	LSSTi	LSSTz	LSSTy	M_1450	M_i
        1.58000        19.87654        19.76828        19.65101        19.52512        19.53153        19.58489       -24.49097       -24.83161
        1.59000        19.87962        19.76945        19.65379        19.52625        19.53017        19.58352       -24.50361       -24.84425
        1.60000        19.88283        19.77069        19.65660        19.52754        19.52897        19.58219       -24.51607       -24.85671
        1.61000        19.88617        19.77200        19.65945        19.52900        19.52793        19.58089       -24.52836       -24.86901
        1.62000        19.88964        19.77339        19.66232        19.53061        19.52704        19.57963       -24.54049       -24.88113
        1.63000        19.89325        19.77485        19.66524        19.53239        19.52631        19.57840       -24.55244       -24.89308
        1.64000        19.89699        19.77640        19.66819        19.53431        19.52572        19.57722       -24.56423       -24.90487
        1.65000        19.90088        19.77802        19.67118        19.53638        19.52528        19.57609       -24.57585       -24.91649
        1.66000        19.90492        19.77973        19.67420        19.53858        19.52498        19.57500       -24.58731       -24.92795
        1.67000        19.90911        19.78152        19.67727        19.54089        19.52483        19.57396       -24.59861       -24.93925
        1.68000        19.91346        19.78340        19.68038        19.54332        19.52482        19.57296       -24.60974       -24.95038
        1.69000        19.91798        19.78537        19.68353        19.54586        19.52494        19.57202       -24.62072       -24.96136
        1.70000        19.92268        19.78743        19.68672        19.54852        19.52521        19.57112       -24.63154       -24.97218
        1.71000        19.92755        19.78958        19.68995        19.55130        19.52563        19.57026       -24.64220       -24.98284
        1.72000        19.93261        19.79183        19.69323        19.55419        19.52618        19.56946       -24.65271       -24.99335
        1.73000        19.93786        19.79416        19.69655        19.55720        19.52687        19.56871       -24.66306       -25.00370
        1.74000        19.94331        19.79659        19.69991        19.56032        19.52769        19.56801       -24.67327       -25.01391
        1.75000        19.94896        19.79911        19.70331        19.56357        19.52864        19.56738       -24.68332       -25.02396
        1.76000        19.95482        19.80172        19.70674        19.56695        19.52972        19.56681       -24.69322       -25.03386
        1.77000        19.96088        19.80442        19.71021        19.57045        19.53091        19.56631       -24.70298       -25.04362
        1.78000        19.96716        19.80720        19.71371        19.57408        19.53222        19.56588       -24.71258       -25.05323
        1.79000        19.97363        19.81007        19.71725        19.57783        19.53364        19.56554       -24.72205       -25.06269
        1.80000        19.98031        19.81302        19.72082        19.58170        19.53518        19.56529       -24.73137       -25.07201
        1.81000        19.98720        19.81606        19.72441        19.58571        19.53681        19.56513       -24.74055       -25.08119
        1.82000        19.99429        19.81918        19.72804        19.58985        19.53855        19.56509       -24.74958       -25.09023
        1.83000        20.00158        19.82238        19.73169        19.59414        19.54038        19.56516       -24.75848       -25.09912
        1.84000        20.00909        19.82566        19.73538        19.59856        19.54231        19.56537       -24.76724       -25.10788
        1.85000        20.01680        19.82902        19.73909        19.60312        19.54433        19.56570       -24.77586       -25.11650
        1.86000        20.02471        19.83245        19.74282        19.60780        19.54644        19.56616       -24.78435       -25.12499
        1.87000        20.03284        19.83597        19.74659        19.61259        19.54866        19.56677       -24.79270       -25.13334
        1.88000        20.04118        19.83957        19.75039        19.61749        19.55098        19.56751       -24.80091       -25.14156
        1.89000        20.04973        19.84324        19.75422        19.62249        19.55343        19.56838       -24.80900       -25.14964
        1.90000        20.05849        19.84700        19.75808        19.62758        19.55598        19.56940       -24.81695       -25.15759
        1.91000        20.06747        19.85085        19.76197        19.63276        19.55866        19.57056       -24.82478       -25.16542
        1.92000        20.07667        19.85478        19.76589        19.63802        19.56146        19.57185       -24.83247       -25.17311
        1.93000        20.08609        19.85880        19.76985        19.64337        19.56437        19.57328       -24.84004       -25.18068
        1.94000        20.09574        19.86291        19.77384        19.64879        19.56740        19.57484       -24.84748       -25.18812
        1.95000        20.10562        19.86710        19.77786        19.65428        19.57055        19.57654       -24.85479       -25.19544
        1.96000        20.11574        19.87139        19.78192        19.65982        19.57383        19.57837       -24.86199       -25.20263
        1.97000        20.12611        19.87577        19.78602        19.66542        19.57723        19.58033       -24.86905       -25.20970
        1.98000        20.13672        19.88025        19.79014        19.67106        19.58076        19.58241       -24.87600       -25.21664
        1.99000        20.14760        19.88481        19.79431        19.67675        19.58442        19.58461       -24.88283       -25.22347
        2.00000        20.15874        19.88947        19.79850        19.68249        19.58822        19.58694       -24.88953       -25.23017
        2.01000        20.17015        19.89422        19.80273        19.68826        19.59217        19.58938       -24.89612       -25.23676
        2.02000        20.18185        19.89906        19.80700        19.69406        19.59626        19.59193       -24.90259       -25.24323
        2.03000        20.19384        19.90398        19.81131        19.69989        19.60051        19.59460       -24.90894       -25.24958
        2.04000        20.20613        19.90899        19.81567        19.70575        19.60491        19.59738       -24.91518       -25.25582
        2.05000        20.21872        19.91407        19.82006        19.71163        19.60946        19.60026       -24.92130       -25.26194
        2.06000        20.23161        19.91924        19.82450        19.71751        19.61417        19.60325       -24.92731       -25.26795
        2.07000        20.24480        19.92449        19.82899        19.72340        19.61903        19.60633       -24.93321       -25.27385
        2.08000        20.25828        19.92981        19.83353        19.72930        19.62403        19.60951       -24.93899       -25.27963
        2.09000        20.27206        19.93520        19.83812        19.73521        19.62918        19.61278       -24.94466       -25.28531
        2.10000        20.28610        19.94067        19.84276        19.74114        19.63447        19.61614       -24.95023       -25.29087
        2.11000        20.30041        19.94620        19.84745        19.74709        19.63991        19.61958       -24.95568       -25.29633
        2.12000        20.31495        19.95181        19.85219        19.75306        19.64547        19.62311       -24.96103       -25.30167
        2.13000        20.32970        19.95748        19.85698        19.75906        19.65116        19.62671       -24.96627       -25.30692
        2.14000        20.34464        19.96323        19.86182        19.76508        19.65697        19.63039       -24.97141       -25.31205
        2.15000        20.35973        19.96904        19.86670        19.77114        19.66289        19.63414       -24.97644       -25.31708
        2.16000        20.37492        19.97493        19.87163        19.77723        19.66890        19.63796       -24.98137       -25.32201
        2.17000        20.39020        19.98091        19.87661        19.78336        19.67502        19.64186       -24.98619       -25.32683
        2.18000        20.40550        19.98698        19.88162        19.78953        19.68122        19.64582       -24.99091       -25.33155
        2.19000        20.42079        19.99314        19.88668        19.79575        19.68750        19.64985       -24.99553       -25.33617
        2.20000        20.43600        19.99941        19.89176        19.80202        19.69386        19.65394       -25.00005       -25.34069
        2.21000        20.45108        20.00580        19.89689        19.80836        19.70030        19.65811       -25.00447       -25.34512
        2.22000        20.46599        20.01232        19.90204        19.81475        19.70682        19.66235       -25.00879       -25.34944
        2.23000        20.48071        20.01897        19.90722        19.82119        19.71340        19.66668       -25.01302       -25.35366
        2.24000        20.49521        20.02577        19.91243        19.82768        19.72005        19.67109       -25.01715       -25.35779
        2.25000        20.50949        20.03272        19.91766        19.83421        19.72676        19.67559       -25.02118       -25.36182
        2.26000        20.52356        20.03984        19.92293        19.84078        19.73353        19.68019       -25.02511       -25.36575
        2.27000        20.53742        20.04711        19.92822        19.84739        19.74036        19.68488       -25.02895       -25.36959
        2.28000        20.55110        20.05455        19.93354        19.85403        19.74725        19.68966       -25.03270       -25.37334
        2.29000        20.56460        20.06215        19.93888        19.86070        19.75420        19.69455       -25.03635       -25.37700
        2.30000        20.57794        20.06992        19.94426        19.86739        19.76121        19.69954       -25.03992       -25.38056
        2.31000        20.59114        20.07785        19.94968        19.87410        19.76829        19.70462       -25.04339       -25.38403
        2.32000        20.60422        20.08594        19.95513        19.88083        19.77545        19.70980       -25.04677       -25.38741
        2.33000        20.61722        20.09418        19.96062        19.88756        19.78268        19.71508       -25.05006       -25.39070
        2.34000        20.63017        20.10257        19.96617        19.89429        19.78998        19.72046       -25.05326       -25.39390
        2.35000        20.64311        20.11110        19.97176        19.90103        19.79735        19.72594       -25.05638       -25.39702
        2.36000        20.65608        20.11977        19.97741        19.90776        19.80478        19.73152       -25.05940       -25.40005
        2.37000        20.66914        20.12857        19.98312        19.91448        19.81229        19.73720       -25.06234       -25.40299
        2.38000        20.68229        20.13749        19.98888        19.92119        19.81985        19.74300       -25.06520       -25.40584
        2.39000        20.69556        20.14652        19.99471        19.92788        19.82747        19.74892       -25.06797       -25.40861
        2.40000        20.70895        20.15567        20.00060        19.93456        19.83513        19.75496       -25.07065       -25.41129
        2.41000        20.72246        20.16492        20.00656        19.94123        19.84283        19.76114       -25.07325       -25.41389
        2.42000        20.73609        20.17428        20.01258        19.94789        19.85057        19.76744       -25.07577       -25.41641
        2.43000        20.74985        20.18373        20.01866        19.95454        19.85833        19.77385       -25.07820       -25.41885
        2.44000        20.76373        20.19329        20.02480        19.96119        19.86611        19.78040       -25.08056       -25.42120
        2.45000        20.77774        20.20296        20.03100        19.96784        19.87392        19.78707       -25.08283       -25.42347
        2.46000        20.79187        20.21272        20.03725        19.97449        19.88174        19.79387       -25.08502       -25.42566
        2.47000        20.80613        20.22258        20.04356        19.98116        19.88956        19.80079       -25.08713       -25.42778
        2.48000        20.82052        20.23255        20.04993        19.98785        19.89740        19.80783       -25.08917       -25.42981
        2.49000        20.83503        20.24262        20.05634        19.99455        19.90524        19.81498       -25.09112       -25.43177
        2.50000        20.84968        20.25279        20.06280        20.00128        19.91309        19.82225       -25.09300       -25.43364
        2.51000        20.86446        20.26306        20.06930        20.00804        19.92094        19.82963       -25.09480       -25.43544
        2.52000        20.87937        20.27344        20.07585        20.01483        19.92881        19.83710       -25.09653       -25.43717
        2.53000        20.89441        20.28392        20.08244        20.02165        19.93669        19.84468       -25.09818       -25.43882
        2.54000        20.90959        20.29450        20.08907        20.02851        19.94458        19.85234       -25.09975       -25.44039
        2.55000        20.92492        20.30518        20.09573        20.03540        19.95249        19.86008       -25.10125       -25.44189
        2.56000        20.94040        20.31597        20.10243        20.04233        19.96042        19.86790       -25.10268       -25.44332
        2.57000        20.95604        20.32687        20.10917        20.04929        19.96838        19.87578       -25.10403       -25.44467
        2.58000        20.97184        20.33786        20.11594        20.05628        19.97637        19.88372       -25.10531       -25.44595
        2.59000        20.98782        20.34896        20.12274        20.06331        19.98439        19.89172       -25.10652       -25.44716
        2.60000        21.00399        20.36017        20.12958        20.07037        19.99245        19.89977       -25.10765       -25.44830
        2.61000        21.02035        20.37148        20.13646        20.07747        20.00053        19.90787       -25.10872       -25.44936
        2.62000        21.03692        20.38289        20.14337        20.08459        20.00864        19.91600       -25.10972       -25.45036
        2.63000        21.05370        20.39441        20.15032        20.09174        20.01677        19.92418       -25.11064       -25.45129
        2.64000        21.07070        20.40603        20.15731        20.09891        20.02493        19.93239       -25.11150       -25.45214
        2.65000        21.08793        20.41776        20.16435        20.10611        20.03312        19.94064       -25.11229       -25.45293
        2.66000        21.10540        20.42959        20.17142        20.11333        20.04133        19.94892       -25.11301       -25.45365
        2.67000        21.12312        20.44153        20.17855        20.12058        20.04957        19.95723       -25.11367       -25.45431
        2.68000        21.14111        20.45358        20.18571        20.12786        20.05782        19.96557       -25.11425       -25.45490
        2.69000        21.15936        20.46573        20.19293        20.13516        20.06610        19.97394       -25.11478       -25.45542
        2.70000        21.17789        20.47800        20.20019        20.14248        20.07439        19.98235       -25.11523       -25.45587
        2.71000        21.19670        20.49036        20.20750        20.14981        20.08269        19.99078       -25.11562       -25.45626
        2.72000        21.21581        20.50284        20.21486        20.15715        20.09101        19.99925       -25.11595       -25.45659
        2.73000        21.23521        20.51542        20.22227        20.16450        20.09933        20.00777       -25.11621       -25.45685
        2.74000        21.25492        20.52812        20.22974        20.17186        20.10766        20.01632       -25.11641       -25.45705
        2.75000        21.27494        20.54092        20.23725        20.17923        20.11598        20.02492       -25.11655       -25.45719
        2.76000        21.29528        20.55383        20.24481        20.18661        20.12431        20.03355       -25.11662       -25.45726
        2.77000        21.31594        20.56685        20.25241        20.19400        20.13263        20.04223       -25.11663       -25.45727
        2.78000        21.33693        20.57997        20.26007        20.20140        20.14095        20.05095       -25.11658       -25.45722
        2.79000        21.35824        20.59321        20.26777        20.20881        20.14927        20.05972       -25.11647       -25.45711
